n_features,features,silhouette,jacs_score,combined,k,best_cluster,best_n_good,best_n_jacs
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_578', 'AAC_G', 'ESM2_276')",0.28420778320387813,1.5,0.6489454482427146,3,2,85,85
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_803', 'AAC_G', 'ESM2_521')",0.28416657731380596,1.5,0.6489166041196641,3,2,87,87
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_803', 'ESM2_917', 'AAC_G')",0.284160808221878,1.5,0.6489125657553145,3,1,86,86
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'InterPLM_esm2-650m_L24_mean_7025', 'ESM2_3')",0.28363762008484494,1.5,0.6485463340593914,2,0,79,81
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_578', 'ESM2_848', 'AAC_G')",0.2835381250205838,1.5,0.6484766875144086,2,0,90,91
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_803', 'AAC_G', 'ESM2_2')",0.2824271452161695,1.5,0.6476990016513187,3,1,87,87
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_803', 'AAC_G', 'ESM2_82')",0.282363486515396,1.5,0.6476544405607771,2,1,93,95
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_803', 'ESM2_3', 'ESM2_406')",0.28221726158682653,1.5,0.6475520831107785,2,0,79,81
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'ESM2_3', 'InterPLM_esm2-650m_L24_mean_10015')",0.28185170370634105,1.5,0.6472961925944387,2,0,80,82
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_803', 'InterPLM_esm2-650m_L24_mean_6997', 'AAC_G')",0.2817758969495779,1.5,0.6472431278647045,3,2,85,85
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_803', 'AAC_G', 'ESM2_574')",0.281229032236493,1.5,0.646860322565545,3,1,92,92
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'ESM2_917', 'ESM2_3')",0.2811425992735009,1.5,0.6467998194914506,2,0,76,78
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_578', 'AAC_G', 'ESM2_560')",0.28109814850130715,1.5,0.6467687039509149,3,2,86,86
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_578', 'InterPLM_esm2-650m_L24_mean_7025', 'AAC_G')",0.28062610059329846,1.5,0.6464382704153089,3,0,89,89
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'ESM2_3', 'ESM2_82')",0.28030647798445474,1.5,0.6462145345891183,2,0,78,80
